idx,address,matched_street,matched_zip,matched_city,matched_state,lat,lon,score,precision,geocode_result
103,804 service road east lansing mi 48824,Service Rd,48854,NA,NA,NA,NA,0.493,street,imprecise_geocode
347,1950 glenn mitchell dr virginia beach va 23456,Mitchell Dr,23421,NA,NA,37.791957,-75.575242,0.506,street,geocoded
6,2211 lomas ne albuquerque nm 87131,Lomas Ct NE,87112,NA,NA,35.087571,-106.521389,0.53,street,geocoded
116,11104 parkview circle fort wayne in 46845,Parkview Ave,46802,NA,NA,41.069299,-85.150939,0.537,street,geocoded
207,715 south 8th st minneapolis mn 55415,S 8th St,55454,NA,NA,44.965465,-93.245424,0.537,street,geocoded
287,175 n medical drive east salt lake city ut 84132,Medical Dr,84132,Salt Lake City,UT,40.769929,-111.838948,0.543,street,geocoded
137,5000 s 5th ave hines il 60141,S 5th Ave,60153,NA,NA,41.86437,-87.838316,0.545,street,geocoded
332,1201 5th avenue north st petersburg fl 33705,5th St S,33705,Saint Petersburg,FL,27.748457,-82.639484,0.547,street,geocoded
62,university hospital charlottesville va 22908,University Ct,22903,NA,NA,38.037459,-78.497805,0.556,street,geocoded
80,790 college parkway colchester vt 05401,College St,05401,South Burlington,VT,44.477771,-73.200606,0.561,street,geocoded
132,850 enterprise parkway ste 1400 hampton va 23666,Cindy Ct,23666,Hampton,VA,37.056151,-76.440865,0.561,street,geocoded
1,1 perkins square akron oh 44308,Perkins St,44304,NA,NA,41.085673,-81.51012,0.582,street,geocoded
288,175 n medical dr salt lake city ut 84132,Medical Dr,84132,Salt Lake City,UT,40.769929,-111.838948,0.59,street,geocoded
122,2100 pfingsten rd glenview il 60026,Pfingsten Rd,60026,Glenview Naval Air Station,IL,42.100273,-87.849094,0.598,street,geocoded
192,1675 highland avenue madison wi 53792,Highland Ave,53792,Madison,WI,43.078605,-89.430543,0.615,street,geocoded
277,3 riverside circle roanoke va 24016,Riverside Blvd SW,24016,Roanoke,VA,37.269573,-79.960067,0.615,street,geocoded
315,179 belle meade rd setauket ny 11733,Belle Mead Rd,11733,East Setauket,NY,40.89495,-73.088596,0.615,street,geocoded
105,2821 michael angelo dr edinburg tx 78539,Michael Blvd,78539,Edinburg,TX,26.280945,-98.199178,0.617,street,geocoded
183,127 s san vicente blvd los angeles ca 90048,S San Vicente Blvd,90048,Los Angeles,CA,34.069558,-118.375192,0.622,street,geocoded
285,4860 y street ste 1700 sacramento ca 95817,X St Y St Aly,95817,Sacramento,CA,38.555524,-121.468259,0.625,street,geocoded
211,909 fulton street se minneapolis mn 55455,Fulton St SE,55414,Minneapolis,MN,44.970245,-93.227112,0.65,street,geocoded
169,5380 s rainbow las vegas nv 89118,S Rainbow,89178,Las Vegas,NV,36.009634,-115.243564,0.656,street,geocoded
210,909 fulton st se minneapolis mn 55455,Fulton St SE,55414,Minneapolis,MN,44.970245,-93.227112,0.656,street,geocoded
300,1825 4th street san francisco ca 94158,4th St,94158,San Francisco,CA,37.768642,-122.390946,0.674,street,geocoded
217,130 2nd st neenah wi 54956,2nd St,54956,Neenah,WI,44.190245,-88.453426,0.676,street,geocoded
338,9600 veterans dr tacoma wa 98493,Veterans Dr SW,98493,Tacoma,WA,47.135986,-122.57589,0.678,street,geocoded
259,1471 5th avenue pittsburgh pa 15213,5th Ave,15213,Pittsburgh,PA,40.437695,-79.972643,0.681,street,geocoded
