TRIFD,ID,ADDRESS
6413WBRGHT521BR,24031,7504 DENVER AVE MO 64130
60803VLRLS36W13,22932,3600 W 131ST ST IL 60803
63045RVNND4372G,23617,4372 GREEN ASH DR MO 63045
3008WTCKRR221MN,8843,2201 MOON ST GA 30084
30093LLDPH5440A,8846,5440 OAKBROOK PKWY GA 30093
30096SPCTR3741V,8851,3741 VENTURE DR SUITE 350 GA 30096
30117DCSTR1DECM,8892,1 DECOMA DR GA 30117
3010WVTRNS355HU,8881,3055 HUMPHRIES HILL RD GA 30106
30125KMTTC601CA,8927,601 CANAL ST GA 30125
30176HNDPR55HND,9005,550 HONDA PKWY GA 30176
30182GLDKSWACOS,9012,WACO SCHOOL RD GA 30182
30213PRXTC500BO,9036,500 BOHANNON RD GA 30213
30315HLLMN1500J,9147,1500 JONESBORO RD. SE GA 30315
3010WTHMSC1327G,8877,1327 GA-140 GA 30103
30162NLNDR238MA,8990,238 MAYS BRIDGE RD GA 30165
30165SHRMN223JH,8993,223 JOHN DAVENPORT DR GA 30165
3018WSTHWR54IND,9021,540 W INDUSTRIAL CT GA 30180
30208LCHMN2145E,9029,2145 E PARK DR GA 30013
30209CRBRD8195N,9030,8195 INDUSTRIAL BLVD GA 30014
30224HSHZK101GR,9047,101 GREEN VALLEY BLVD GA 30224
30236NDSTR7635J,9058,7635 JONESBORO RD GA 30236
30269HSHZK618HW,9109,618 GA HWY 74 S GA 30269
3033WNXSCR5WATE,9191,500 WATERFRONT DR SW GA 30336
30344WLLMC2335L,9208,2335 LAWRENCE ST GA 30344
30434THRMKROUTE,9232,1430 HWY 24 E GA 30434
30501KBTMN2715R,9250,2715 RAMSEY RD GA 30501
3050WCNTRL2579M,9264,2579 MONROE DR GA 30507
3050WMNCYM194NE,9267,1940 NEW HARVEST RD GA 30507
30566WYNFR3456O,9331,3456 OLD OAKWOOD RD GA 30566
3065WNCRWR1118W,9380,1118 W SPRING ST GA 30655
30701SPRNGNINDU,9407,175 N INDUSTRIAL BLVD GA 30701
30720MCKLN413VI,9432,413 VIRGIL DR GA 30721
3072WPLYVN22ABU,9475,2200 ABUTMENT RD GA 30721
30730LYRLYRTE1H,9486,5081 HWY 114 GA 30730
3108WDRLNX1GERG,9633,1000 GEORGE J LYONS PKWY GA 31082
31092GRGPCSOUTA,9636,838 SHILOH RD GA 31092
31550BMWDPMANOR,9776,4137 MANOR MILLWOOD RD GA 31550
31732GRTSTHIGHW,9846,12551 HWY 273 W GA 39832
31792CLVRB221LA,9864,221 LAW ST GA 31792
31907PRCSN4800C,9899,5000 CARGO DR GA 31907
32178CDRSYAIRPO,9995,2 KAY LARKIN CIR FL 32177
32226CRTNT9225D,10057,9225 DAMES POINT RD FL 32226
3032WRDYMX34ARM,9173,340 ARMOUR DR GA 30324
3045WRGSST9476U,9239,9476 US HIGHWAY 301 S GA 30458
30528FRDNBONENO,9282,1 NOK DR GA 30528
30529JMHBRPOBOX,9284,1442 HWY 334 GA 30529
3054WTHMSC396TH,9314,3960 THURMON TANNER RD GA 30542
3065WRMTPT15IND,9381,1500 IND US TRIAL BLVD GA 30650
30662RYSTNOLDEL,9383,1556 OLD ELBERT RD GA 30662
30701PHNXC22GEE,9405,202 GEE RD GA 30701
30721BLFBR600FI,9443,607 FIFTH AVE GA 30721
30721BLNTD950RI,9445,950 RIVERBEND RD GA 30721
3085WMMCMT217IN,9520,217 INDUSTRIAL PARK RD MS 39759
30901LFRGG111LA,9523,111 LANEY WALKER RD GA 30901
3090WRLDYN6255T,9552,625 5TH ST GA 30901
31029CGLSF123IN,9594,133 INDUSTRIAL PARK DR GA 31029
3108WCLNCN14BTH,9631,1040 BOOTH RD GA 31088
31098SDDSF216OC,9640,775 MACON ST BUILDING 1555 GA 31098
31318NTRNT911OL,9668,911 OLD RIVER RD GA 31318
31516CPLCNHIGHW,9738,6352 TIMBER LN GA 31516
3151WSNRBX17FRS,9742,419 FROST INDUSTRIAL BLVD GA 31513
31520MCMNS1CRIS,9747,1 CRISPEN ISLAND GA 31523
31524STRSRFLETC,9752,1131 CHAPEL CROSSING RD - ESD B-681 GA 31525
3154WCHMRSPWERL,9775,POWER LINE RD GA 31545
31643LNGBRHWY34,9807,320 LANGBOARD LN GA 31643
3171WSTHST2947J,9840,2947 JACKSON DAIRY RD GA 31716
31788SNDRS77GAH,9860,700 GA HWY 133 S GA 31788
31792BLFRL800WC,9863,800 W CLAY ST GA 31792
3179WMBRML9WGLD,9875,900 W GOLDEN RD GA 31793
31830GRGPCHIGHW,9886,5875 CHIPLEY HWY GA 31830
3213WDGWTR2NFLB,9984,200 N FLAGLER AVE FL 32132
32206CSTMP2900P,10007,2900 PHOENIX AVE FL 32206
32210STHRN1433L,10026,1433 LANE CIRCLE E FL 32254
32218THBFG6061B,10036,6061 GOODRICH BLVD FL 32226
32254CNMST140SO,10071,140 S ELLIS RD FL 32254
3225WCMXMR6961H,10081,6961 HWY AVE FL 32254
3253WBYCNC542FA,10173,5420 FAIRCHILD RD FL 32539
32748CCCLF11CLO,10255,11 CLOUD ST FL 34748
32809BKRMN7460C,10297,7460 CHANCELLOR DR FL 32809
32809HWRDF8306S,10302,8306 S ORANGE AVE FL 32809
3282WRLNDR738NA,10343,7308 NARCOOSSEE ROAD FL 32822
3282WTRMCM116IN,10345,11600 INTERMODEL WAY (SR527) FL 32824
32854LWTNB2515D,10353,2515 DINNEEN AVE FL 32804
32905FRRSR2210W,10362,2210 WILHELMINA CT NE FL 32905
3290WNVVCR365NE,10368,3650 NE 53RD AVE FL 32609
33014SCHRN13900,10417,13900 NW 57TH CT FL 33014
33169NLTNT1251N,10485,1111 NW 165TH ST FL 33169
3344WDLRYB17WES,10577,1700 WEST ATLANTIC AVENUE FL 33444
3355WMTTLR1571N,10621,1571 NORTHPOINTE PARKWAY FL 33558
33605CTGPT801MC,10651,801 MCCLOSKEY BLVD FL 33605
33610PCFLR6701E,10674,6701 E HANNA AVE FL 33610
33611WLLCR5250W,10677,5250 W TYSON AVE FL 33611
33616PRTTM5500C,10685,5500 COMMERCE ST FL 33616
33702FLRDPWEEDO,10737,1601 WEEDON ISLAND DR FL 33702
33712PHTGN2510T,10741,2510 TERMINAL DR S FL 33712
33777RYTHN7887B,10777,7887 BRYAN DAIRY RD FL 33777
3377WDSNZH734BR,10778,7340 BRYAN DAIRY RD FL 33777
33815LBMMT133PI,10810,1033 PINE CHASE AVE FL 33815
3390WFLRDR149PN,10895,1409 PONDELLA ROAD FL 33909
34221LFRGF304NA,10950,304 NATIONAL ST FL 34221
3422WRPRDC2525I,10956,2525 INLAND TRANSPORT ST FL 34221
3429WPRFRR123SJ,10987,123 S JACKSON RD FL 34292
34428FLRDP15760,10988,15760 W POWERLINE ST FL 34428
3447WRGSCL3599S,11006,3599 SW 74TH AVE FL 34474
30720SHWNDLAKEL,9439,2603 LAKELAND RD GA 30720
30809SBTTR653IN,9504,717 N BELAIR RD GA 30809
31021NWHLL325FI,9583,325 FIRETOWER RD GA 31021
3170WKNDRM163WA,9829,1603 W OAKRIDGE DR GA 31707
